1.000000 0.000000 
0.965517 0.004083 
0.931034 0.009451 
0.896552 0.015700 
0.862069 0.022522 
0.827586 0.029681 
0.793103 0.036992 
0.758621 0.044302 
0.724138 0.051484 
0.689655 0.058420 
0.655172 0.064998 
0.620690 0.071109 
0.586207 0.076643 
0.551724 0.081491 
0.517241 0.085548 
0.482759 0.088717 
0.448276 0.090914 
0.413793 0.092073 
0.379310 0.092151 
0.344828 0.091138 
0.310345 0.089054 
0.275862 0.085950 
0.241379 0.081909 
0.206897 0.077024 
0.172414 0.071378 
0.137931 0.064984 
0.103448 0.057674 
0.068966 0.048822 
0.034483 0.036395 
0.000000 0.000000 
0.000000 0.000000 
0.034483 -0.024002 
0.068966 -0.034167 
0.103448 -0.042238 
0.137931 -0.049133 
0.172414 -0.055051 
0.206897 -0.059999 
0.241379 -0.063929 
0.275862 -0.066796 
0.310345 -0.068575 
0.344828 -0.069277 
0.379310 -0.068942 
0.413793 -0.067636 
0.448276 -0.065450 
0.482759 -0.062489 
0.517241 -0.058865 
0.551724 -0.054693 
0.586207 -0.050085 
0.620690 -0.045145 
0.655172 -0.039970 
0.689655 -0.034648 
0.724138 -0.029262 
0.758621 -0.023897 
0.793103 -0.018646 
0.827586 -0.013627 
0.862069 -0.008994 
0.896552 -0.004962 
0.931034 -0.001825 
0.965517 0.000011 
1.000000 0.000000 
