1.000000 0.000000 
0.965517 0.004959 
0.931034 0.010624 
0.896552 0.016679 
0.862069 0.022888 
0.827586 0.029082 
0.793103 0.035136 
0.758621 0.040962 
0.724138 0.046494 
0.689655 0.051681 
0.655172 0.056479 
0.620690 0.060848 
0.586207 0.064745 
0.551724 0.068128 
0.517241 0.070952 
0.482759 0.073169 
0.448276 0.074733 
0.413793 0.075602 
0.379310 0.075739 
0.344828 0.075114 
0.310345 0.073710 
0.275862 0.071519 
0.241379 0.068544 
0.206897 0.064786 
0.172414 0.060235 
0.137931 0.054831 
0.103448 0.048392 
0.068966 0.040431 
0.034483 0.029467 
0.000000 0.000000 
0.000000 0.000000 
0.034483 -0.026573 
0.068966 -0.036083 
0.103448 -0.042808 
0.137931 -0.048113 
0.172414 -0.052431 
0.206897 -0.055905 
0.241379 -0.058569 
0.275862 -0.060418 
0.310345 -0.061440 
0.344828 -0.061636 
0.379310 -0.061020 
0.413793 -0.059629 
0.448276 -0.057515 
0.482759 -0.054745 
0.517241 -0.051400 
0.551724 -0.047566 
0.586207 -0.043336 
0.620690 -0.038805 
0.655172 -0.034065 
0.689655 -0.029211 
0.724138 -0.024337 
0.758621 -0.019541 
0.793103 -0.014928 
0.827586 -0.010616 
0.862069 -0.006746 
0.896552 -0.003494 
0.931034 -0.001082 
0.965517 0.000205 
1.000000 0.000000 
